error_code,error_explanation,error_suggestion
MISPLACED_KEYWORD,"You can only use keywords like [code]break[/code] or [code]continue[/code] in a loop. Outside a loop, they are invalid.

The [code]continue[/code] keyword means ""jump to the next iteration of the loop."" And the [code]break[/code] keyword means ""end the loop right now and jump to the first line of code after the loop block.","If you wrote one of these keywords outside a loop, you need to remove it.

If you are trying to use it inside a loop, your indentation is most likely at fault. You may need to insert one or more leading tab characters to the keyword."
EXPECTED_CONSTANT_EXPRESSION,,
INVALID_CLASS_DECLARATION,,
DUPLICATE_DECLARATION,"You are trying to define a signal that already exists; You can't do that.

Perhaps the signal already exists in the current code file, but it may also be in a parent class that this GDScript code extends.","In the app, your code extends some built-in Godot code that's not visible to you.

When that happens, you need to either rename your signal to one that will not collide with an existing one or remove this line of code."
SIGNATURE_MISMATCH,,
INVALID_ARGUMENTS,,
TYPE_MISMATCH,,
TYPE_CANNOT_BE_INFERRED,,
RETURN_VALUE_MISMATCH,,
MISPLACED_STATIC_CALL,,

CANNOT_CONNECT_TO_LSP, "The server or your computer may currently be disconnected. Also, an app or browser add-on may be blocking the connection. If you use an ad blocker or script blocker, please disable it for this website.", "Please make sure you're connected to the internet. If you use an ad blocker or script blocker, please ensure it is turned off on this page."
LSP_UNDETECTED_ERROR, "Godot was unable to load your script, yet the language checker server found nothing wrong. It's possible you are not online", "If you're offline, this error is expected. Otherwise, please click on the ""report"" button at the top and please let us know"
LSP_TIMED_OUT, "Either your connection is very slow, or the Language Verifier server is under load", "Please try again, and if it happens again, warn us with the ""report"" button at the top. Thank you!"
RECURSIVE_FUNCTION, "You called a function inside itself. This will loop forever.", "There are valid reasons for using recursive functions, but none of them are part of this course, so this cannot be a valid solution."
