error_code,error_explanation,error_suggestion
MISPLACED_KEYWORD,"You can only use keywords like [code]break[/code] or [code]continue[/code] in a loop. Outside a loop, they are invalid.

The [code]continue[/code] keyword means ""jump to the next iteration of the loop."" And the [code]break[/code] keyword means ""end the loop right now and jump to the first line of code after the loop block.","If you wrote one of these keywords outside a loop, you need to remove it.

If you are trying to use it inside a loop, your indentation is most likely at fault. You may need to insert one or more leading tab characters to the keyword."
EXPECTED_CONSTANT_EXPRESSION,"When the computer talks about a constant expression, it expects a fixed value, a fixed calculation, or the name of an existing constant.

In other words, it wants something that can never change. This is why the computer will reject function calls and variables where it needs a constant expression.","You need to replace function calls or variables with a constant value like a whole number, decimal number, string, vector, a predefined array, etc.

You can also use arithmetic operators like multiplications (*), additions (+), and so on."
INVALID_CLASS_DECLARATION,"When defining a new class, you need to follow a specific pattern. You must write the name in plain text, starting with a letter.

We typically write class names in PascalCase: with a capital letter at the start of every word that composes the class name.","To fix this error, replace whatever you put after the 'extends' or 'class_name' keyword by a name without spaces and starting with a capital letter.

You can optionally use numbers in the name, but not in the first position."
DUPLICATE_DECLARATION,"You are trying to define a function or variable that already exists; You can't do that.

Perhaps the function or variable already exists in the current code file, but it may also be in a parent class that this GDScript code extends.","In the app, your code extends some built-in Godot code that's not visible to you.

When that happens, you need to either rename your function or variable to one that will not collide with an existing one or remove this line of code."
DUPLICATE_SIGNAL_DECLARATION,"You are trying to define a signal that already exists; You can't do that.

Perhaps the signal already exists in the current code file, but it may also be in a parent class that this GDScript code extends.","In the app, your code extends some built-in Godot code that's not visible to you.

When that happens, you need to either rename your signal to one that will not collide with an existing one or remove this line of code."
SIGNATURE_MISMATCH,"The function you're trying to define exists in a parent class, so your definition overrides the parent class's function.

When you override a parent class's function, the new function must match the parent. The new function should have the same number and type of parameters as the parent class.

For example, if the parent has two arguments, you need your new function also to have two arguments. If you use type hints in your function definitions, the argument types must match the parent class.","You need to check the parent class's function and its definition in the code reference. Then, you need to edit your function definition to have the same number and type of parameters as the parent class."
INVALID_ARGUMENTS,"This whole class of errors has to do with calling functions with either the wrong number of arguments or the wrong kind of argument. You will need to use the error message to see what is going wrong.","You need to either remove, add, or change the values you're trying to pass to the function to solve this issue. To know exactly how many arguments you need, you need to check the code reference. It will show you the function definition and the mandatory arguments."
TYPE_MISMATCH,"All the values in your code have a specific type. That type can be a whole number (int), a decimal number (float), text (String), and so on. There are tons of possible types, and you can even define your own!

When you make any operation, the computer compares the types you are using.

Some types are compatible, and some are not. For example, you cannot directly add a whole number to a text string. You first need to convert the number into text.

You'll need to read the error message to see what is not matching because there are many possible cases.","If the error mentions the assigned value type not matching the variable, the problem is on the right side of the equal sign (=).

If the error talks about the return type not matching the function, then it is the value after the return keyword that is problematic.

If the computer talks about an invalid operand, then the issue is that the operation does not exist for the type you're trying to use. For example, while you can add two 2D vectors, you can't add a whole number or text to a 2D vector."
TYPE_CANNOT_BE_INFERRED,"GDScript supports type inference. The computer will automatically recognize the type of value you are working with. In some cases, though, it can't figure it out.

When that happens, you need to specify the type yourself or remove type inference altogether for this variable.","The simplest way to solve this error is to remove types for this variable or this function's arguments. Otherwise, you can manually specify the value type after the colon.

We recommend specifying the type whenever possible to reap the typing system's benefits."
RETURN_VALUE_MISMATCH,"There is an issue with the return value of your function. There are two main cases here:

1. Your function is a void function, thus it should not return a value. This includes functions with the '-> void' syntax and class constructors ('_init()').
2. You specified a return type for your function, but you are not returning a value in all possible branches (if, elif, and else blocks) or at the end.","When your function is 'void', you should never return a value. You can use the 'return' keyword to end the function early, but you should never write anything after that.

When you use a return type, you must always return something at the end of the function or in every branch (if, elif, and else block) of the function."
MISPLACED_STATIC_CALL,,
INVALID_NO_CATCH, "Godot was unable to load your script, yet the language checker found nothing wrong.", "Please click on the ""report"" button at the top and please let us know."
RECURSIVE_FUNCTION, "You called a function inside itself. This will loop forever.", "There are valid reasons for using recursive functions, but none of them are part of this course, so this cannot be a valid solution."
